,clock,defense,defense_score,distance,home,offense,offense_score,period,surrender_index,yard_line
7088,"{'minutes': 13, 'seconds': 15}",Houston,7,15,Houston,SMU,7,2,0.4,79
7089,"{'minutes': 11, 'seconds': 10}",SMU,7,19,Houston,Houston,7,2,0.4,33
7090,"{'minutes': 9, 'seconds': 20}",UCF,7,17,Temple,Temple,7,1,0.4,27
7091,"{'minutes': 9, 'seconds': 50}",South Florida,7,10,East Carolina,East Carolina,7,1,0.4,39
7092,"{'minutes': 6, 'seconds': 28}",East Carolina,7,13,East Carolina,South Florida,7,1,0.4,83
7093,"{'minutes': 15, 'seconds': 0}",Western Michigan,0,14,Western Michigan,Bowling Green,0,1,0.4,68
7094,"{'minutes': 15, 'seconds': 0}",Buffalo,0,12,Buffalo,Central Michigan,0,1,0.4,77
7095,"{'minutes': 15, 'seconds': 0}",Toledo,0,13,Toledo,Eastern Michigan,0,1,0.4,78
7096,"{'minutes': 7, 'seconds': 28}",Eastern Michigan,7,8,Toledo,Toledo,10,2,0.4,27
7097,"{'minutes': 15, 'seconds': 0}",Miami (OH),0,10,Kent State,Kent State,0,1,0.4,37
7098,"{'minutes': 14, 'seconds': 53}",Ohio,7,12,Ball State,Ball State,7,2,0.4,13
7099,"{'minutes': 13, 'seconds': 50}",Appalachian State,0,10,South Alabama,South Alabama,0,1,0.4,39
7100,"{'minutes': 5, 'seconds': 38}",Arkansas,0,7,Alabama,Alabama,31,2,0.4,20
7101,"{'minutes': 15, 'seconds': 0}",Missouri,0,8,Kentucky,Kentucky,22,3,0.4,27
7102,"{'minutes': 7, 'seconds': 11}",LSU,10,9,LSU,Auburn,13,3,0.4,98
7103,"{'minutes': 6, 'seconds': 57}",South Carolina,7,8,Tennessee,Tennessee,10,2,0.4,10
7104,"{'minutes': 4, 'seconds': 37}",Kansas,7,7,Kansas,Texas Tech,17,2,0.4,64
7105,"{'minutes': 4, 'seconds': 31}",Oklahoma,38,7,Kansas State,Kansas State,48,4,0.4,28
7106,"{'minutes': 11, 'seconds': 49}",Purdue,0,9,Purdue,Illinois,17,3,0.4,83
7107,"{'minutes': 2, 'seconds': 16}",Northwestern,0,7,Northwestern,Iowa,17,3,0.4,69
7108,"{'minutes': 13, 'seconds': 35}",Notre Dame,0,7,Michigan,Michigan,17,3,0.4,28
7109,"{'minutes': 14, 'seconds': 11}",North Carolina,17,12,North Carolina,Duke,17,4,0.4,60
7110,"{'minutes': 13, 'seconds': 15}",Duke,17,12,North Carolina,North Carolina,17,4,0.4,13
7111,"{'minutes': 5, 'seconds': 53}",Louisville,14,17,Louisville,Virginia,14,3,0.4,79
7112,"{'minutes': 7, 'seconds': 21}",Arizona State,10,8,UCLA,UCLA,35,3,0.4,34
7113,"{'minutes': 10, 'seconds': 58}",Arizona State,17,7,UCLA,UCLA,42,4,0.4,13
7114,"{'minutes': 11, 'seconds': 8}",Arizona State,17,7,UCLA,UCLA,42,4,0.4,13
7115,"{'minutes': 10, 'seconds': 40}",Arizona State,17,7,UCLA,UCLA,42,4,0.4,13
7116,"{'minutes': 13, 'seconds': 27}",Oregon,17,11,Oregon,Washington State,17,3,0.4,75
7117,"{'minutes': 9, 'seconds': 49}",UTEP,14,7,UTEP,Louisiana Tech,42,4,0.4,60
7118,"{'minutes': 3, 'seconds': 14}",New Mexico,31,9,New Mexico,Hawai'i,45,4,0.4,74
7119,"{'minutes': 12, 'seconds': 41}",Central Michigan,14,7,Buffalo,Buffalo,30,3,0.4,37
7120,"{'seconds': 31, 'minutes': 0}",Eastern Michigan,10,11,Toledo,Toledo,10,2,0.4,20
7121,"{'minutes': 12, 'seconds': 37}",Arkansas,0,8,Arkansas,Mississippi State,17,2,0.4,90
7122,"{'minutes': 15, 'seconds': 0}",Texas A&M,0,13,Texas A&M,UT San Antonio,0,1,0.4,66
7123,"{'minutes': 12, 'seconds': 26}",UT San Antonio,0,14,Texas A&M,Texas A&M,0,1,0.4,12
7124,"{'minutes': 8, 'seconds': 1}",Texas A&M,7,10,Texas A&M,UT San Antonio,7,1,0.4,68
